Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-05-05,19,10.64898/2026.05.01.722228,1,genomics,Near telomere-to-telomere Linum genomes reveal a lineage-specific DNA transposon associated with chromosome architecture remodeling,"You, F. M.; Zheng, C.; Li, P.; Edwards, T.; Walkowiak, S.; He, L.; Xiao, J.; Wang, X.; Cloutier, S."
2026-05-05,19,10.64898/2026.05.01.722254,1,genomics,Haplotype-resolved genome of autotetraploid alfalfa (Medicago sativa) Regen-SY27x uncovers large scale structural variation and resistance gene dynamics,"Kaur, H.; Cameron, C. T.; Gomez, A.; Mudge, J.; Farmer, A.; Shannon, L. M.; Samac, D. A."
2026-05-05,19,10.64898/2026.05.04.722716,1,biochemistry,Structural basis for rifamycin recognition and sequential substrate binding by the mycobacterial ADP-ribosyltransferase ARR,"von Soosten, L. C.; Schulz, E. C."
2026-05-05,19,10.64898/2026.05.01.722288,1,biochemistry,Resolving hidden stoichiometries in Bacterial proteasome activator (Bpa)-substrate complexes by cryo-EM and charge detection mass spectrometry,"Davis, B. T. V.; Uday, A. B. B.; Haris, A.; Keszei, A. F. A.; Ujma, J.; Bruton, D.; Richardson, K.; Mazhab-Jafari, M.; Giles, K.; Zeytuni, N.; Vahidi, S."
2026-05-05,19,10.64898/2026.05.01.722273,1,biochemistry,"Methionine, Not S-adenosylmethionine, Acts as a Primary Metabolic Stress Signal for Chromatin Remodeling","Leech, C. M.; Haws, S. A.; Denu, J. M."
2026-05-05,19,10.64898/2026.05.01.722089,1,bioengineering,Alzheimer's Disease and circadian disruption sex-specifically contribute to a loss of bone maintenance in APP/PS1 model mice,"Allen, N. G.; Cordi, C. V.; Llabre, J. E.; Chuah, J. R.; Clark, G. T.; Kubik, A. J.; Falkenberg, N. G.; Jankowski, M. S.; Cahill, R. A.; Herzog, A. A.; Subash Chander, M.; Vashishth, D.; Hurley, J. M.; Blaber, E. A."
2026-05-05,19,10.64898/2026.05.01.722104,1,bioinformatics,MilliMap: interactive closed-loop analysis for spatial omics,"Feng, Q.; Qian, S. B.; Wan, J.; Starr, Z. R.; Asif, S.; Han, H.-S."
2026-05-05,19,10.64898/2026.05.01.722230,1,bioinformatics,Mitag4taxa: Extracting SSU rRNA Illumina reads from metagenomes for taxonomic classification,"He, Y.; Du, Y.; Nguyen, L.; Wang, Y."
2026-05-05,19,10.64898/2026.05.01.722262,1,pharmacology and toxicology,Protein Age Bias in Target Degradation by PROTACs,"Li, B. X.; Xiao, X."
2026-05-05,19,10.64898/2026.05.04.722385,1,microbiology,RatA is not a toxin but serves as a ubiquinone shuttle,"Fasnacht, M.; Jensen, L.; Schratt, D.; Moll, I."
2026-05-05,19,10.64898/2026.05.01.722200,1,genomics,Single-molecule variation in telomeric sequence and structure across humans,"Dubocanin, D.; Vollger, M. R.; Neph, S. J.; Del Rio Pisula, M.; Lucas, J. K.; Sedeno-Cortes, A. E.; Mallory, B. J.; Real, T. D.; Human Pangenome Reference Consortium,  ; Barthel, F. P.; Altemose, N.; Stergachis, A. B."
2026-05-05,19,10.64898/2026.05.01.722269,1,bioengineering,Aptamer-based DNA nanoswitches for multiplexed protein detection,"Kovvali, S.; Beckles, C. A.; Chandrasekaran, A. R.; Halvorsen, K."
2026-05-05,19,10.64898/2026.05.01.722244,1,bioinformatics,STAT: A multi-agent framework for integrated and interactive spatial transcriptomics analysis,"Chen, Y.; Han, S.; Chao, Z.; Liu, Y.; Chen, H.; Wang, J.; Xiao, J.; Yang, C."
2026-05-05,19,10.64898/2026.05.01.722206,1,bioinformatics,Uncertainty-aware localization microscopy by variational diffusion,"Seitz, C.; Liu, J."
2026-05-05,19,10.64898/2026.05.03.722537,1,biophysics,An underlying bistability sets amplitude and explains temperature compensation in the cyanobacterial circadian clock,"Liu, Y.; Pattanayak, G. K.; Chi, C.; Yoo, H.; Dinner, A.; Rust, M. J."
